state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
COLORADO,Metropolitan County,Clear Creek,2,0,0,0,2,27,2,20,5,0,2024
COLORADO,Metropolitan County,Douglas,426,3,73,24,326,2239,341,1675,223,17,2024
COLORADO,Metropolitan County,Elbert,17,3,3,0,11,63,7,37,19,2,2024
COLORADO,Metropolitan County,El Paso,600,8,114,40,438,2810,423,1982,405,31,2024
COLORADO,Metropolitan County,Gilpin,9,0,0,0,9,51,5,41,5,0,2024
COLORADO,Metropolitan County,Jefferson,430,3,91,39,297,2356,393,1613,350,37,2024
COLORADO,Metropolitan County,Larimer,175,1,16,7,151,712,113,501,98,16,2024
COLORADO,Metropolitan County,Mesa,165,1,33,10,121,886,143,644,99,20,2024
COLORADO,Metropolitan County,Teller,3,0,0,0,3,4,1,3,0,0,2024
COLORADO,Metropolitan County,Weld,156,1,17,5,133,737,160,431,146,6,2024
COLORADO,Nonmetropolitan County,Alamosa,11,0,11,0,0,115,23,77,15,0,2024
COLORADO,Nonmetropolitan County,Archuleta,18,0,3,0,15,20,5,11,4,2,2024
COLORADO,Nonmetropolitan County,Bent,11,0,1,0,10,90,27,57,6,2,2024
COLORADO,Nonmetropolitan County,Chaffee,4,0,0,1,3,65,29,35,1,0,2024
COLORADO,Nonmetropolitan County,Crowley,11,0,0,0,11,29,15,8,6,2,2024
COLORADO,Nonmetropolitan County,Delta,9,1,4,0,4,108,23,75,10,1,2024
COLORADO,Nonmetropolitan County,Dolores,8,0,0,0,8,17,3,14,0,0,2024
COLORADO,Nonmetropolitan County,Eagle,19,0,4,1,14,126,10,108,8,0,2024
COLORADO,Nonmetropolitan County,Garfield,92,0,28,1,63,170,26,116,28,2,2024
COLORADO,Nonmetropolitan County,Grand,29,0,10,1,18,50,11,36,3,0,2024
COLORADO,Nonmetropolitan County,Kiowa,0,0,0,0,0,9,1,7,1,0,2024
COLORADO,Nonmetropolitan County,Kit Carson,8,1,0,0,7,22,1,16,5,0,2024
COLORADO,Nonmetropolitan County,Lake,14,0,0,1,13,18,6,11,1,0,2024
COLORADO,Nonmetropolitan County,La Plata,28,0,9,0,19,130,11,104,15,1,2024
COLORADO,Nonmetropolitan County,Las Animas,15,0,4,1,10,50,17,23,10,2,2024
COLORADO,Nonmetropolitan County,Logan,17,0,1,0,16,45,10,24,11,2,2024
COLORADO,Nonmetropolitan County,Montezuma,29,0,1,1,27,99,18,55,26,2,2024
COLORADO,Nonmetropolitan County,Montrose,37,0,0,1,36,76,11,51,14,0,2024
COLORADO,Nonmetropolitan County,Morgan,1,0,1,0,0,62,17,32,13,0,2024
COLORADO,Nonmetropolitan County,Otero,5,0,0,0,5,41,5,29,7,0,2024
COLORADO,Nonmetropolitan County,Ouray,4,0,2,0,2,13,0,13,0,0,2024
COLORADO,Nonmetropolitan County,Phillips,0,0,0,0,0,0,0,0,0,0,2024
COLORADO,Nonmetropolitan County,Pitkin,5,0,0,2,3,15,1,11,3,0,2024
